ID;ID HTT;IP;MAC;Device;Root Device;LAN Port;VLAN;Local;Local (RU);ant_local;ant_name;Coordinat;Data Install;Data Update;Data Human;
63;device_62;192.168.200.34;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966419;12-20 08-07-2025;
64;device_63;192.168.200.35;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966419;12-20 08-07-2025;
65;device_64;192.168.200.36;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966419;12-20 08-07-2025;
66;device_65;192.168.200.37;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966419;12-20 08-07-2025;
67;device_66;192.168.200.38;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966420;12-20 08-07-2025;
68;device_67;192.168.200.39;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966420;12-20 08-07-2025;
69;device_68;192.168.200.42;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966420;12-20 08-07-2025;
70;device_69;192.168.200.43;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966421;12-20 08-07-2025;
71;device_70;192.168.200.44;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966421;12-20 08-07-2025;
72;device_71;192.168.200.45;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966421;12-20 08-07-2025;
73;device_72;192.168.200.46;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966421;12-20 08-07-2025;
74;device_73;192.168.200.48;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966421;12-20 08-07-2025;
75;device_74;192.168.200.49;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966421;12-20 08-07-2025;
76;device_75;192.168.200.50;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966422;12-20 08-07-2025;
77;device_76;192.168.200.51;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966422;12-20 08-07-2025;
78;device_77;192.168.200.52;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966422;12-20 08-07-2025;
79;device_78;192.168.200.53;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966422;12-20 08-07-2025;
80;device_79;192.168.200.54;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966422;12-20 08-07-2025;
81;device_80;192.168.200.55;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966422;12-20 08-07-2025;
82;device_81;192.168.200.56;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966423;12-20 08-07-2025;
83;device_82;192.168.200.57;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966423;12-20 08-07-2025;
84;device_83;192.168.200.58;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966423;12-20 08-07-2025;
85;device_84;192.168.200.59;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966423;12-20 08-07-2025;
86;device_85;192.168.200.60;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966423;12-20 08-07-2025;
87;device_86;192.168.200.61;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966423;12-20 08-07-2025;
88;device_87;192.168.200.62;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966424;12-20 08-07-2025;
89;device_88;192.168.200.63;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966424;12-20 08-07-2025;
90;device_89;192.168.200.64;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966424;12-20 08-07-2025;
91;device_90;192.168.200.66;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966424;12-20 08-07-2025;
92;device_91;192.168.200.67;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966424;12-20 08-07-2025;
93;device_92;192.168.200.70;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966424;12-20 08-07-2025;
94;device_93;192.168.200.71;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966425;12-20 08-07-2025;
95;device_94;192.168.200.76;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966426;12-20 08-07-2025;
96;device_95;192.168.200.80;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751964021;11-40 08-07-2025;
97;device_96;192.168.200.82;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966428;12-20 08-07-2025;
